Date,USD_Balance,BTC_Price,ETH_Price,Portfolio_Value_USD
3/25/2025,1000,87495.3,2081.24,1000
3/26/2025,2082.62,87349.8,2019.19,1137.97
3/27/2025,2162.93,86937,2013.67,1219.95
3/28/2025,1963.93,87209.5,1906.69,1122.39
3/29/2025,2083.93,84412.1,1837.84,1215.05
3/30/2025,1963.93,82646.8,1817.02,1219.33
3/31/2025,2083.93,82375.4,1831.95,1261.78
4/1/2025,2003.93,82548.6,1914.99,2016.46
4/2/2025,2123.93,85166,1805.59,1360
4/3/2025,2043.93,82522.6,1826.53,1143.51
4/4/2025,2163.93,83160.2,1826.36,1447.14
4/5/2025,2083.93,83868.7,1816.47,1089.37
4/6/2025,2003.93,83554.1,1590.65,696.37
4/7/2025,2123.93,78393.3,1563.01,2114.82
4/8/2025,2043.93,79164.5,1483.4,1725.03
4/9/2025,2163.93,76314.5,1679.74,3512.23
4/10/2025,2083.93,82609,1532.13,2066.77
4/11/2025,2203.93,79609.5,1576.77,3501.32
4/12/2025,2323.93,83415.1,1654.12,2303.59
4/13/2025,2243.93,85294.7,1607.77,3813.43
4/14/2025,2363.93,83736.4,1633.73,2607.07
4/15/2025,2283.93,84588.4,1598.8,3850.77
4/16/2025,2403.93,83649,1587.14,2560.68
4/17/2025,2323.93,84034.2,1592.73,3885.73
4/18/2025,2443.93,84942,1598.93,2622.93
